scraper_id;scraperUrl;name;photo;dob;dod;aged;nationality;activity;intro
1564479907-547;https://prabook.com/web/search.html#pageNumber=497&nationality=United%20States&searchBy=text&id=;Manfred Joshua Sakel;https://prabook.com/web/show-profile-photo-icon.jpg?id=1065505;June 6, 1900;December 2, 1957;57;United States;psychiatrist;Manfred Joshua Sakel was a Jewish Austrian (later Austrian-American) neurophysiologist and psychiatrist, credited with developing insulin shock therapy in 1927. Sakel went to Vienna, where from 1936 he worked at the neuropsychiatric clinic at the ...
1564481424-9559;https://prabook.com/web/search.html#pageNumber=33&nationality=United%20States&searchBy=text&id=;John Villiers Farrow;https://prabook.com/web/show-profile-photo-icon.jpg?id=1079433;February 10, 1904;January 27, 1963;58;United States;producer,author,author,film director;"John Villiers Farrow was an Australian-born American author, motion picture director, producer. He was originally a writer: of stage plays and. from 1927, of movie scripts, including Ladies of the Mob (28, William Wellman); Wolf Song (29, Victor ..."
1564481376-9254;https://prabook.com/web/search.html#pageNumber=48&nationality=United%20States&searchBy=text&id=;Errol Leslie Flynn;https://prabook.com/web/show-profile-photo-icon.jpg?id=1079440;June 20, 1909;October 14, 1959;50;United States;actor,author;Errol Leslie Flynn was an Australian-born American actor, author. He had had a variety of jobs around the Pacific- before appearing as Fletcher Christian in the documentarylike In the Wake of the Bounty (32). This encouraged him to go to England, to ...
1564480515-3730;https://prabook.com/web/search.html#pageNumber=317&nationality=United%20States&searchBy=text&id=;Thomson Jay Hudson;https://prabook.com/web/show-profile-photo-icon.jpg?id=1080653;February 22, 1834;1903;68;United States;lecturer,author;Thomson Jay Hudson was chief examiner of the United States Patent Office and psychical researcher, known for his three laws of psychic phenomena, which were first published in 1893. He began a law practice in Portuguese Huron, Michigan but, in 1860, ...
1564480427-3202;https://prabook.com/web/search.html#pageNumber=344&nationality=United%20States&searchBy=text&id=;Coates Kinney;https://prabook.com/web/show-profile-photo-icon.jpg?id=1080680;November 24, 1826;January 25, 1904;77;United States;NA;Coates Kinney, American writer. famous lyric, “Rain on the Roof,” is included in this last volume. member Ohio senate, 1881-1882. After practicing law for about three years, he became a journalist, and worked on papers in Cincinnati, Xenia, ...
1564480168-1872;https://prabook.com/web/search.html#pageNumber=418&nationality=United%20States&searchBy=text&id=;Joseph Christopher O’Mahoney;https://prabook.com/web/show-profile-photo-icon.jpg?id=1081;November 5, 1884;December 1, 1962;78;United States;senator;"Joseph Christopher O’Mahoney, United States senator. Member American Bar Association Kappa Sigma. Appointed First Assistant Postmaster General in 1933, and served until December 31, 1933, when he resigned to become a Senator; appointed on December 18, ..."
1564480261-2299;https://prabook.com/web/search.html#pageNumber=395&nationality=United%20States&searchBy=text&id=;Todd Webb (Charles Clayton Webb);https://prabook.com/web/show-profile-photo-icon.jpg?id=10847;September 15, 1905;April 15, 2000;94;United States;photographer,writer;Todd Webb was an American photographer notable for documenting everyday life and architecture in cities such as New York, Paris as well as from the American west. His photography has been compared with Harry Callahan, Berenice Abbott, Walker Evans, ...
1564480790-5136;https://prabook.com/web/search.html#pageNumber=231&nationality=United%20States&searchBy=text&id=;Thaddeus H. Caraway;https://prabook.com/web/show-profile-photo-icon.jpg?id=1085;October 17, 1871;November 6, 1931;60;United States;senator;Thaddeus Horatius Caraway was a Democratic Party politician from Arkansas who represented the state first in the U.S. House of Representatives (1913–1921) and then in the U.S. Senate (1921–1931). In Congress, Caraway was a progressive and a reformer.
1564480411-3097;https://prabook.com/web/search.html#pageNumber=349&nationality=United%20States&searchBy=text&id=;Helen Hull JACOBS;https://prabook.com/web/show-profile-photo-icon.jpg?id=10861;August 6, 1908;June 2, 1997;88;United States;tennis player,writer;Helen Hull Jacobs (August 6, 1908 – June 2, 1997) was a World No. 1 American female tennis player who won ten Grand Slam titles. She grew up in Berkeley, California, learned the game at the Berkeley Tennis Club, pursued her undergraduate degree at the ...
1564481427-9568;https://prabook.com/web/search.html#pageNumber=32&nationality=United%20States&searchBy=text&id=;Elia Kazan;https://prabook.com/web/show-profile-photo-icon.jpg?id=10871;September 7, 1909;September 28, 2003;94;United States;actor,filmmaker,filmmaker,writer,writer,film director;Elia Kazan was an American theater director, film director, writer, actor. He joined the Group Theater in 1932, originally as an actor: he appeared in Waiting for Lefty and Golden Boy by Clifford Odets and later acted in two films directed by Anatole ...
1564480659-4596;https://prabook.com/web/search.html#pageNumber=272&nationality=United%20States&searchBy=text&id=;Nathaniel Manley Hayward;https://prabook.com/web/show-profile-photo-icon.jpg?id=1087647;January 19, 1808;July 18, 1865;57;United States;inventor,manufacturer;Nathaniel Manley Hayward was a United States businessman and inventor best known for developing the process of vulcanization and for his collaboration with Charles Goodyear Hayward met Goodyear in 1837 and shared with him the discovery he had made, ...
1564480411-3096;https://prabook.com/web/search.html#pageNumber=349&nationality=United%20States&searchBy=text&id=;Frederick Lehlbach;https://prabook.com/web/show-profile-photo-icon.jpg?id=109;January 31, 1876;August 4, 1937;61;United States;congressman;Frederick Reimold Lehlbach was an American lawyer and politician. As a Republican, Lehlbach served as the U.S. Representative for New Jersey's 10th congressional district from 1915 to 1933 and as the representative from New Jersey's 12th congressional ...
1564481405-9440;https://prabook.com/web/search.html#pageNumber=39&nationality=United%20States&searchBy=text&id=;Marion Davies;https://prabook.com/web/show-profile-photo-icon.jpg?id=1094384;January 3, 1897;September 22, 1961;64;United States;producer,screenwriter,screenwriter,actress;Marion Davies was an American screen-writer, producer and actress. Decorated with Award of Merit by French Dramatic Academy. Davies was in the Ziegfeld Follies when she met Hearst. Hearst was determined to make her a star and he founded Cosmopolitan ...
1564481481-9907;https://prabook.com/web/search.html#pageNumber=15&nationality=United%20States&searchBy=text&id=;Janet Gaynor;https://prabook.com/web/show-profile-photo-icon.jpg?id=1094405;October 6, 1906;September 14, 1984;77;United States;actress;Janet Gaynor was an American film, stage and television actress. Having worked four years as an extra, she won parts in two-reel Westerns. Fox put her in her first full-length movie, The Johnstown Flood (26, Irving Cummings), and signed her up. She ...
1564481430-9604;https://prabook.com/web/search.html#pageNumber=31&nationality=United%20States&searchBy=text&id=;Carole Lombard;https://prabook.com/web/show-profile-photo-icon.jpg?id=1094438;October 6, 1908;January 16, 1942;33;United States;actress;Carole Lombard was an American actress. Her film debut was in 1921 when Allan Dwan spotted her playing baseball in the street and gave her a tomboy part in A Perfect Crime. Bv 1925 Fox had her under contract and she made Marriage in Transit (25, R.
1564481507-10058;https://prabook.com/web/search.html#pageNumber=7&nationality=United%20States&searchBy=text&id=;Joseph Losey;https://prabook.com/web/show-profile-photo-icon.jpg?id=1094442;January 14, 1909;June 22, 1984;75;United States;filmmaker;"Joseph Losey was a British and American film director. Decorated chevalier de L’Ordre des Arts et des Lettres; recipient numerous film awards. The hardening of Losey’s arteries seems to date from 1964. He had just made The Servant, a highly wrought ..."
1564481491-9960;https://prabook.com/web/search.html#pageNumber=12&nationality=United%20States&searchBy=text&id=;Jeanette Macdonald;https://prabook.com/web/show-profile-photo-icon.jpg?id=1094443;June 18, 1903;January 14, 1965;61;United States;singer,actress;Jeanette Macdonald was an American actress and singer. She sang and danced on stage during the 1920s and had been turned down once by Paramount before Lubitsch cast her with Chevalier in The Love Parade (29). She staved there for The Vagabond King ...
1564481446-9697;https://prabook.com/web/search.html#pageNumber=26&nationality=United%20States&searchBy=text&id=;Agnes Robertson Moorehead;https://prabook.com/web/show-profile-photo-icon.jpg?id=1094455;December 6, 1900;April 30, 1974;73;United States;actress;Agnes Robertson Moorehead was an American actress. Began as teacher of public speaking and English, Centralized High School, Soldiers Grove, Wisconsin then teacher of dramatics at Dalton School, New York City. First stage appearance at Municipal ...
1564481481-9919;https://prabook.com/web/search.html#pageNumber=15&nationality=United%20States&searchBy=text&id=;Van Heflin;https://prabook.com/web/show-profile-photo-icon.jpg?id=1094628;December 13, 1910;July 23, 1971;60;United States;actor;Van Heflin was an American actor. Recipient Academy Award as best supporting actor, Academy Motion Picture Arts and Sciences, 1942. Served as second Lieutenant 9th Air Force, United States Army Air Force, 1942-1945. He was good as the farmer in Shane ...
1564481462-9796;https://prabook.com/web/search.html#pageNumber=21&nationality=United%20States&searchBy=text&id=;Alan Walbridge Ladd;https://prabook.com/web/show-profile-photo-icon.jpg?id=1094638;September 3, 1913;January 29, 1964;50;United States;actor;"Alan Walbridge Ladd was an American film actor. He appeared in The Goldwyn Follies, worked on radio, was credited in Once in a Lifetime (32, Russell Mack); Pigskin Parade (36, David Butler); Souls at Sea (37, Henry Hathaway); Come On, Leathernecks (38."
1564481398-9402;https://prabook.com/web/search.html#pageNumber=41&nationality=United%20States&searchBy=text&id=;Betty Grable;https://prabook.com/web/show-profile-photo-icon.jpg?id=1094701;December 18, 1916;July 2, 1973;56;United States;dancer,singer,singer,actress;Betty Grable was an American actress, dancer and singer. The importance of the moment in certain careers is perfectly demonstrated by Betty Grable. For ten years she had labored away at glamour without really rising above supporting parts. She began ...
1564481411-9472;https://prabook.com/web/search.html#pageNumber=37&nationality=United%20States&searchBy=text&id=;Gloria Grahame;https://prabook.com/web/show-profile-photo-icon.jpg?id=1094972;November 28, 1924;October 5, 1981;56;United States;actress;"Gloria Grahame was an American actress, who recieved the Academy Award for supporting actress in Crossfire, 1944; Award for supporting actress in The Bad and the Beautiful, 1952. Just a few years before her death, there she was in England, doing ..."
1564481481-9906;https://prabook.com/web/search.html#pageNumber=15&nationality=United%20States&searchBy=text&id=;John Barrymore;https://prabook.com/web/show-profile-photo-icon.jpg?id=1095484;February 15, 1882;March 29, 1942;60;United States;actor;John Barrymore was an American film and stage actor. He made his film debut in 1913 in An American Citizen and worked f or Famous Players-Lasky for the next few years, largely in comedies. It was after the First World War that he began to make his ...
1564481491-9957;https://prabook.com/web/search.html#pageNumber=12&nationality=United%20States&searchBy=text&id=;Lionel Barrymore;https://prabook.com/web/show-profile-photo-icon.jpg?id=1095485;April 28, 1878;November 15, 1954;76;United States;actor;Lionel Barrymore was an American film and stage actor. He began in the theatre but in the years before the First World War he joined D. W. Griffiths company and acted in a great many two-reelers, occasionally contributing scripts.. He became a leading ...
1564481453-9730;https://prabook.com/web/search.html#pageNumber=24&nationality=United%20States&searchBy=text&id=;Charles Boyer;https://prabook.com/web/show-profile-photo-icon.jpg?id=1095515;August 28, 1899;August 26, 1978;78;United States;actor;Charles Boyer a French and American film actor. He then joined UFA to make French versions of German movies, only to be lured away by MGM to play in French versions of The Trial of Mary Dugan and The Big House. When these duplications were stopped, ...
1564481453-9731;https://prabook.com/web/search.html#pageNumber=24&nationality=United%20States&searchBy=text&id=;Walter Brennan;https://prabook.com/web/show-profile-photo-icon.jpg?id=1095524;July 25, 1894;September 21, 1974;80;United States;actor;"Walter Andrew Brennan was an American actor. Recipient academic awards as best supporting actor, Come and Get It, 1936, Kentucky, 1938, The Westerner, 1940; Freedoms Foundation award, 1965; Horatio Alger award, 1966; Western Heritage National Cowboy ..."
1564481478-9882;https://prabook.com/web/search.html#pageNumber=16&nationality=United%20States&searchBy=text&id=;Douglas Fairbanks;https://prabook.com/web/show-profile-photo-icon.jpg?id=1095611;March 23, 1883;December 12, 1939;56;United States;actor;Douglas Fairbanks was an American actor. The founder of the American Academy of Dramatic Arts. After a comfortable upbringing, it seems proper that Fairbanks enjoyed a playboy youth before going on the stage. By 1915 he was a star, and Triangle ...
1564481418-9525;https://prabook.com/web/search.html#pageNumber=35&nationality=United%20States&searchBy=text&id=;Arthur Freed;https://prabook.com/web/show-profile-photo-icon.jpg?id=1095624;September 9, 1894;April 12, 1973;78;United States;lyricist,producer;"Arthur Freed was an American film producer and lyricist. Decorated chevalier Legion of Honor (France); recipient Academy award best motion picture of 1951, An American in Paris; Irving Thalberg Memorial award, 1951; award for superlative and ..."
1564481468-9825;https://prabook.com/web/search.html#pageNumber=19&nationality=United%20States&searchBy=text&id=;Ruth Gordon;https://prabook.com/web/show-profile-photo-icon.jpg?id=1095649;October 30, 1896;August 28, 1985;88;United States;actress;Ruth Gordon was an American actress and screenwriter. Her movie career was intermittent, as if there were often more compelling things on her mind. She spent rather more time acting on and writing for the stage. In the thirties, she was a very ...
1564481395-9383;https://prabook.com/web/search.html#pageNumber=42&nationality=United%20States&searchBy=text&id=;Gregory La Cava;https://prabook.com/web/show-profile-photo-icon.jpg?id=1095752;March 10, 1892;March 1, 1952;59;United States;film director;Gregory La Cava was an American film director. Stage Door and The Half-Naked Truth are wonderful entertainments (Morrie Ryskind was a writer on Stage Door, and he was on Godfrey, too). The Primrose Path has Ginger Rogers as a girl from the wrong side ...
1564481449-9721;https://prabook.com/web/search.html#pageNumber=25&nationality=United%20States&searchBy=text&id=;Paul Lukas;https://prabook.com/web/show-profile-photo-icon.jpg?id=1095767;May 26, 1895;August 15, 1971;76;United States;actor;Paul Lukas was a Hungarian and American actor. Ironically, having come to attention because of the enduring loyalties of Hungarians, Lukas was asked for most of his career to play stereotyped Hollywood foreigners, everything from caddish seducers to ...
1564481395-9375;https://prabook.com/web/search.html#pageNumber=42&nationality=United%20States&searchBy=text&id=;Fredric March;https://prabook.com/web/show-profile-photo-icon.jpg?id=1095780;August 31, 1897;April 14, 1975;77;United States;actor;Fredric March was an American film and stage actor. He played a few small film parts in the early 1920s, but it was only with the coming of sound and after several years’ work in the theatre that March prospered. He had the looks and voice to carrv ...
1564481433-9622;https://prabook.com/web/search.html#pageNumber=30&nationality=United%20States&searchBy=text&id=;Mae Marsh;https://prabook.com/web/show-profile-photo-icon.jpg?id=1095783;November 9, 1895;February 13, 1968;72;United States;actress;Mae Marsh was an American silent film actress. The story is told in Robert Henderson’s study of Griffith at Biograph how the director once had a shotgun fired off behind Mae Marsh to get the necessarv alarm on her face. The effect apparently lasted ...
1564481395-9376;https://prabook.com/web/search.html#pageNumber=42&nationality=United%20States&searchBy=text&id=;Adolphe Jean Menjou;https://prabook.com/web/show-profile-photo-icon.jpg?id=1095803;February 8, 1890;October 29, 1963;73;United States;actor;"Adolphe Jean Menjou, American actor. Served to captain United States Army, 1917-1919; Member American Legion, Screen Actors Guild, French Legion of Honor (1947).; Club: Belair. Menjou was on the stage before coming to the movies: The Amazons (17, ..."
1564481433-9614;https://prabook.com/web/search.html#pageNumber=30&nationality=United%20States&searchBy=text&id=;Tom Mix;https://prabook.com/web/show-profile-photo-icon.jpg?id=1095815;January 6, 1880;October 12, 1940;60;United States;actor;Tom Mix was an American actor. He was hired first bv the Selig studio to provide and look after horses. But when the movie crews saw' how he could ride he was promoted to stunt work. Then they noticed his dark, lean looks, his way with clothes, and ...
1564481485-9924;https://prabook.com/web/search.html#pageNumber=14&nationality=United%20States&searchBy=text&id=;Alla Nazimova;https://prabook.com/web/show-profile-photo-icon.jpg?id=1095826;June 4, 1879;July 13, 1945;66;United States;actress;Alla Nazimova was a Russian-born American actress. Began as leading woman in Kostroma, Russia. Later in stock companies, and appeared at St. Petersburg in prominent roles, 1904. Debut in New York as Lia, in Russian language, in “The Chosen People,” at ...
1564481462-9793;https://prabook.com/web/search.html#pageNumber=21&nationality=United%20States&searchBy=text&id=;Ramon Novarro;https://prabook.com/web/show-profile-photo-icon.jpg?id=1095838;February 6, 1899;October, 1968;69;United States;actor;Ramon Novarro was a Mexican- American film and stage actor. His first real part was dancing in A Small Town Idol (21, Erie C. Kenton) and he had a supporting part in Mr Barnes of New York (22, Victor Schertzinger). He was then signed up by Rex Ingram, ...
1564481488-9940;https://prabook.com/web/search.html#pageNumber=13&nationality=United%20States&searchBy=text&id=;Montgomery Clift;https://prabook.com/web/show-profile-photo-icon.jpg?id=1096024;October 17, 1920;July 23, 1966;45;United States;actor;Montgomery Clift was an American actor. He began in amateur theatricals in his teens and appeared in summer stock before making his Broadway debut in 1935 in Fly Away Home, subsequently appearing in The Skin of Our Teeth, Our Town, and You Touched Me.
1564481386-9324;https://prabook.com/web/search.html#pageNumber=45&nationality=United%20States&searchBy=text&id=;Mario Lanza;https://prabook.com/web/show-profile-photo-icon.jpg?id=1096029;January 31, 1921;October 7, 1959;38;United States;actor,singer;Mario Lanza was an American singer and actor. First was That Midnight Kiss (49, Norman Taurog), in which Mario as a singing truck driver gives us “Celeste Aida,” Kathryn Grayson gives us “Caro Nome,” and Carroll Naish gives us “Santa Lucia.” Next, in ...
1564481507-10053;https://prabook.com/web/search.html#pageNumber=7&nationality=United%20States&searchBy=text&id=;Dorothy Dandridge;https://prabook.com/web/show-profile-photo-icon.jpg?id=1096041;November 9, 1922;September 8, 1965;42;United States;singer,actress;Dorothy Dandridge was an American singer, actress. Dandridge had been in show business since childhood, for she was the daughter of an actress. She bad a double act with her sister. Vivian, and by, say, 1939, she was a sixteen-year-old sexpot who ...
1564481433-9605;https://prabook.com/web/search.html#pageNumber=30&nationality=United%20States&searchBy=text&id=;Judy Holliday;https://prabook.com/web/show-profile-photo-icon.jpg?id=1096043;June 21, 1923;June 7, 1965;41;United States;actress;Judy Holliday was an American actress. Holliday started in cabaret: she formed a group, the Revuers, with Betty Comden and Adolph Green. As such, she was a Greenwich Village star, and Nicholas Ray was one of her lovers. She had had three small film ...
1564480172-1892;https://prabook.com/web/search.html#pageNumber=417&nationality=United%20States&searchBy=text&id=;Samuel Whittelsey Dana;https://prabook.com/web/show-profile-photo-icon.jpg?id=1102;February 13, 1760;July 21, 1830;70;United States;senator;Samuel Whittlesey Dana (February 13, 1760 – July 21, 1830) was an American lawyer and politician from Middletown, Connecticut. He representedConnecticut in both the U.S. House of Representatives and Senate. Dana was elected as a Federalist in 1810 to ...
1564480573-4113;https://prabook.com/web/search.html#pageNumber=299&nationality=United%20States&searchBy=text&id=;Winford Lee Lewis;https://prabook.com/web/show-profile-photo-icon.jpg?id=1105386;March 29, 1878;January 20, 1943;64;United States;chemistry;Winford Lee Lewis was a United States soldier and chemist best known for his invention of the chemical warfare agent lewisite in 1917. Assistant and instructor chemistry, University of Washington, 1902-1904. Professor of chemistry, Morningside ...
