id;name;photo;born_mo;born_da;born_ye;born_bc;bornPlace;nationality;ethnicity;religion;education;career;titles;awards;died_mo;died_da;died_ye;died_bc;diedPlace;politicalParty;dob;aged;nationality;intro;activity
5128;Bruce L. Hunter;https://prabook.com/web/*/5128;June;22;1955;;Wabasha, Wisconsin, United States;American;;Methodist;"""St. Cloud State University""";Customer service manager , Citi Group//2003 member , District 62 Iowa House of Representatives;;;;;;;;Iowa Democratic Party;June 22, 1955;;American;Bruce L. Hunter is the Iowa State Representative from the 34thd District. He has served in the Iowa House of Representatives since 2003, when he was elected in a January special election to replace Frank Chiodo, who resigned before term start to ...;politician,congressman
5230;Frank Hendrikus Gerardus;https://prabook.com/web/*/5230;June;27;1955;;Amsterdam, The Netherlands;Netherlands;;;"""University of Groningen""//1979 University Groningen , Graduated";1980 - 1982 With AMRO Bank//1990 deputy mayor Amsterdam//1982 - 1990 member , Amsterdam Municipal Council//1996 - 1998 state secretary , Ministry of Social Affairs and Employment//1982 - 1986 member , Amsterdam Municipal Council//1998 - 2002 minister of defense The Hague;;;;;;;;People's Party for Freedom and Democracy;June 27, 1955;;Netherlands;Franciscus Hendrikus Gerardus de Grave is a Dutch politician. With AMRO Bank, 1980-1982. Member Amsterdam Municipal Council, 1982-1986, Lower House, 1982-1990. Deputy mayor Amsterdam, 1990. State secretary Ministry of Social Affairs and Employment, ...;politician,congressman,senator,private sector banker
5503;Jeffrey J. Berger;https://prabook.com/web/*/5503;March;12;1955;;Waterbury, Connecticut, United States;United States of America;;Roman Catholic;"""Eckerd College""//Springfield College , Student//1978 Bachelor of Science in Social Studies , Psychology , Bachelor of Arts//University New Haven , Student";2001 member , District 73 Connecticut House of Representatives//member , judiciary committee//1977 - 1978 Teacher Gulfport, Mississippi, United States//officer , City of Waterbury Police Department//retired , City of Waterbury Police Department//1986 sales associate , Century 21 Real Estate;;the Waterbury Police Department Medal;;;;;;Democratic Party;March 12, 1955;;United States;Jeffrey J. Berger is an American Democrat politician in the state of Connecticut, representing the 73rd district in the Connecticut House of Representatives. He has one brother, Mitchell M. Berger. Berger is a former middle school teacher and coach, ...;politician
5771;Rick Glazier;https://prabook.com/web/*/5771;June;16;1955;;Allentown, Lehigh County, United States of America;United States of America;;Jewish;"""Pennsylvania State University""";2002 State representative District 45 North Carolina, United States//2004 attorney , Hardison and Leone;;;;;;;;Democratic Party;June 16, 1955;;United States;"Richard ""Rick"" Glazier served as a Democratic member of the North Carolina House of Representatives, representing the 45th district, from 2003 until his resignation in 2015. He resigned to become executive director of the North Carolina Justice Center.";politician
6480;Lance Horbach;https://prabook.com/web/*/6480;February;14;1958;;Grundy Center, Iowa, United States;American;;Roman Catholic;1980 Iowa State University , Architect , Bachelor of Science;1999 industrial liaison Community College//1984 - 1997 Owner Horbach Furniture//insurance salesperson//1996 - 1998 zoning commissioner Tama County//1998 member , District 40 Iowa House of Representatives;;;;;;;;Republican Party;February 14, 1958;;American;Lance Horbach, American state legislator. Member of Farm Bureau, Lions, Eagles. He has served in the Iowa House of Representatives since 1998. Horbach currently serves on several committees in the Iowa House - the Economic Growth committee. The ...;politician
6783;William Edgar Pattangall;https://prabook.com/web/*/6783;June;29;1865;;Fairfield, Illinois, United States;American;;;;1924 - 1933 Chairman , Senate Committee on Foreign Relations United States//March 4, 1907 - January 19, 1940 United States Senator , Idaho United States;;;January;19;1940;;;Republican Party;June 29, 1865;74;American;William Robinson Pattangall was a Maine politician, particularly known for his support of public schools and opposition to the Ku Klux Klan. He was later the Chief Justice of the Maine Supreme Judicial Court retiring on July 16, 1935. Early ...;politician,lawyer
7183;Dragan Cavic;https://prabook.com/web/*/7183;March;10;1958;;Zenica;Bosnia and Herzegovina;;Serbian Orthodox;1980 Banja Luka University , Graduated;president , Republic of Srpska//deputy to president , Serb Democratic Party//vice president , Republic of Srpska//1998 member , parliament National Assembly Republican Srpska//Various positions in state and private owned companies//president , Serb Democratic Party;;Order of the Republika Srpska;;;;;;Serbian Democratic Party;March 10, 1958;;Bosnia and Herzegovina;Dragan ?avi? is a Bosnian politician of Serb ethnicity, who was the President of Republika Srpska in 2002-2006, after having been Vice President of Republika Srpska in 2000-2002. He worked as an economist, financial manager and commercial director ...;politician,economist,president of the country
7382;David Hill;https://prabook.com/web/*/7382;August;29;1843;;Havana, Illinois, United States;American;;;;1882 Mayor of Elmira//1882 Governor Grover Cleveland//1883 - 1885 Lieutenant Governor//1871 - 1872 Democratic member , New York State Assembly (Chemung County) New York, United States//1880 alderman of Elmira//1886 - 1887 President , New York State Bar Association;;;October;20;1910;;Albany, New York, United States of America;Democratic Party;August 29, 1843;67;American;David Bennett Hill was an American politician from New York who was the 29th Governor of New York from 1885 to 1891. He also represented New York in the United States Senate from 1892 to 1897. He was a Democratic member of the New York State Assembly ...;politician,governor,senator
16909;Howard Cooke;https://prabook.com/web/*/16909;November;13;1915;;Goodwill, St. James, Jamaica;Jamaican;;United Church Jamaica & Grand Cayman;"2003 We. Carolona University , DED//""University of London""//2003 University West Indies , Doctor of Law";;Sir;Decorated Knight Grand Cross of the Most DistinDecorated Knight Grand Cross of the Most Distinguished Order of St. Michael and St. George, Queen of England, 1991, Knight St. John's Ambulance (St. John's Ambulance), 1993, Knight Grand Cross of Royal Victorian Order, 1994.;July;11;2014;;Kingston, Surrey County, Jamaica, Jamaica;Jamaica Labour Party;November 13, 1915;98;Jamaican;Howard Cooke, former governor-general of Jamaica. Certified teaching Mico College. Decorated Knight Grand Cross of the Most Distinguished Order of St. Michael and St. George, Queen of England, 1991, Knight St. John's Ambulance (St. John's Ambulance), ...;politician,governor
17959;Henryk Samsonowicz;https://prabook.com/web/*/17959;January;23;1930;;Warsaw, Poland;Polish;Slavic;;1981 Duquesne University , causa , Doctor//1997 High School Education , causa , Doctor//1996 High School Education , causa , Doctor//1980 University Warsaw , Doctor of Philosophy;1980 - 1982 Teacher , University Warsaw Rector, Arkansas, United States//1969 - 1979 Teacher , University Warsaw//1954 - 1971 Teacher , University Warsaw//1975 - 1980 head , Institute History Warsaw, North Carolina, United States;;Named Commander Polonia Restitutce, 1980, officNamed Commander Polonia Restitutce, 1980, officer Chevalier de la Legion d’Honneur'Honneur, 1984.;;;;;;;January 23, 1930;;Polish;"Henryk SAMSONOWICZ, Polish politician and historian. Gold Cross of Merit; Medal, Officier Legion d'honneur. Warsaw University since 1950; Civic Committee attached to Lech Walesa, Chair, of Solidarity Industry Self-governing Trade Union; group for ...";politician,historian
18124;Henryk Jablonski;https://prabook.com/web/*/18124;December;27;1909;;Warsaw, Poland;Polish;;;Faculty Humanities Warsaw University , History Sciences , Doctor of Philosophy//Moscow University , Doctor//Higher Schools Economics , Doctor//Jagiellonian University Cracow , Doctor//Wroclaw University , Doctor//Roland Eotvos University , Doctor//Lodz University , Doctor;1965 - 1966 under-secretary State Ministry Education//1946 - 2000 deputy Home National Council//1983 - 2000 member , presidium All-Polish Committee National Unity Front//1966 - 1972 under-secretary State Ministry Education//2000 - 2000 vice chairman , Central Executive Committee//March 28, 1972 - November 6, 1985 president , People's Republic of Poland//1950 - 2000 professor , Academy Political Sciences//1947 - 1953 under-secretary State Ministry Education//1931 - 1948 Member , Polish Socialist Party;;Order of Georgi Dimitrov, Bulgaria//Decorated Order Banner Labor 1st class, Poland Order Builders People's Poland, great cross OrdOrder Builders People's Poland, great cross Order Polonia Restituta, numerous others//Gallery Order of the October Revolution, USSR//Great Banner of the Order of Ommajad?w, Syria//Gallery Order of Friendship of Peoples, USSR//Gallery Grand Cross of the Legion of Honour, France//Grand Cross of the Order of Polonia Restituta, earlier Commander's Cross, Poland//Grand Cross of the Order of Leopold, Belgium//Great Chain of the Order of Prince Henry the Navigator, Portugal//Special National Award, Poland 1979//Order of Al Rafidain, 1st Class, Iraq//Order of Jos? Marti, Cuba//Order of Sukhbaatar, Mongolia//Great Star of Honour of the Order of Merit of the Republic of Austria, Austria//Order of the White Lion, First Class with Chain, USSR//State Award, Grade The second, Poland 1955//Gold Medal of Merit for National Defence, Poland//Banner Order of the Hungarian People's Republic, 1st class, Hungary//State Prize, Poland 1964//Order of the Cross of Grunwald, 3rd class, Poland//Collars of the Order of the Aztec Eagle, Mexico//Gallery Order of the Badge of Honour, USSR;January;27;2003;;Warsaw, Poland;Socialist Party;December 27, 1909;93;Polish;Henryk Jablonski was a Polish politician, historian and professor. From 1931, Jablonski was a member of the Polish Socialist Party (PPS). During World War II he fought in the battle of Narvik (Norway) and then joined the French Resistance. In 1945 ...;politician,historian
22899;Carl Bildt;https://prabook.com/web/*/22899;July;15;1949;;Halmstad, Hallands Lan, Sweden;Sweden;Swede;;1973 Stockholm University , Educated//Upper secondary school, ?stra Real, Stockholm;1989 - 1991 deputy chairman , International Democrat Union//1974 - 1977 member , Stockholm County Council//1982 - 1991 member , Parliamentary Group Council Moderate Party//1982 - 1991 member , Parliamentary Group Council Moderate Party//1986 - 1999 chairman , Moderate Party//2006 Minister , for Foreign Affairs//1979 - 1981 Undersecretary , of state for coordination & planning at the Cabinet Office Government of Sweden//1982 - 1986 member , Parliamentary Standing Committee on Foreign Affairs//1986 - 1991 member , economic committee Nordic Council//1999 - 2001 special envoy of Secretary , General to the Balkans United Nations//1973 - 1974 Chairman , Confedn. Liberal & Conservative Students the biggest is at Lund University, universities, Sweden//1989 - 1991 member , Defense Intelligence Board//1995 - 1997 co-Chairman , Dayton Peace Conference//1995 - 1997 European special envoy to the former Yugoslavia//1991 - 1994 Prime Minister , Government of Sweden Stockholm//1991 - 1994 Prime minister , Government of Sweden Stockholm, Stockholms Lan, Sweden//1974 - 1976 Chairman , European Democrat Students//1988 - 1991 chairman , Conservative Group//1992 - 1999 chairman , International Democrat Union//1982 - 1983 member , Submarine Defense Commission//1979 - 2001 Member , of Parliament Riksdag (Swedish Parliament);;Ordre national de la L?gion d'honneur Commander//Honorary doctorate, Scotland from the University of St Andrews//H. M. The King's Medal of the 12th size, won in 2003.;;;;;;Moderate Party;July 15, 1949;;Sweden;Carl Bildt is a swedish politician. Currently Carl Bildt is serving as the Minister of Foreign Affairs of Sweden. Carl Bildt has had a successful political career, holding different political posts in different periods of his life. On the 6th of ...;politician,chairman,diplomat,minister
28527;Colin Reith Coote;https://prabook.com/web/*/28527;October;19;1893;;Fenstanton, Huntingdonshire, England;United Kingdom;;;"1911 Rugby School , Student//1914 Balliol College , Bachelor of Arts//""Rugby School""//""Balliol College""";1942 - 1950 deputy editor Daily Telegraph//1917 - 1922 Member , Paliament//1950 - 1964 deputy editor Daily Telegraph//1930 - 1942 Times leader , -writer//1922 - 1925 Rome Corresponent The Times//1927 - 1930 Parliamentary sketch writer;;Decorated Companion Distinguished Svc. Order, 1Decorated Companion Distinguished Svc. Order, 1918, Legion of Honor, 1956,Knight Batchelor, 1962. M C.;June;8;1979;;;Conservative;October 19, 1893;85;United Kingdom;Colin Reith Coote, British Journalist. Decorated Companion Distinguished Svc. Order, 1918, Legion of Honor, 1956,Knight Batchelor, 1962. M C. Served with the Gloucester Regiment, 1914-1918, the French 26th Infantry Division France and Italy, 1917-1918.;politician,journalist
34110;Wesley Kanne Clark;https://prabook.com/web/*/34110;December;23;1944;;Chicago, Illinois, United States;United States of America;;;;1997 - 2000 Nominated by President Clinton to be Supreme Allied Commander of Europe and Commander-in- Chief of the U.S. European Command.//1968 - 1970 Served in the Army in Vietnam//2000 - 2003 Clark retires from the military and joins the Washington office of the Stephens Group Inc., an Arkansas investment banking firm, on 7/5/00. He left Stephens in 2003 to open his own consulting firm.//2003 Clark formally enters the race at a campaign rally in Little Rock.//1999 - 1999 Kosovo. NATO begins its effort to stop the Kosovo conflict.//2001 Clark becomes a military analyst for CNN//1975 - 1976 Served in the Ford Administration as a White House Fellow and worked as a special assistant to the director of the Office of Management and Budget.;;"Wesley Clark has been awarded numerous honors, Wesley Clark has been awarded numerous honors, awards, and knighthoods over the course of his military and civilian career. Notable military awards include the Defense Distinguished Service Medal with four oak leaf clusters, the Legion of Merit with three oak leaf clusters, the Silver Star, and the Bronze Star with an oak leaf cluster. Internationally Clark has received numerous civilian honors such as the Grand Cross of the Order of Merit of the Federal Republic of Germany and military honors such as the Grand Cross of the Medal of Military Merit from Portugal and knighthoods. Clark has been awarded some honors as a civilian, such as the Presidential Medal of Freedom in 2000. The people of Gjakova, Kosovo, named a street after him for his role in helping their city and country.The city of Madison in Alabama has also named a boulevard after Clark. Municipal approval has been granted for the construction of a new street to be named ""General Clark Court"" in Virginia Beach, Virginia. He has also been appointed a Fellow at the Burkle Center for International Relations at UCLA. He is a member of the guiding coalition of the Project on National Security Reform. In 2013, General Clark was awarded the Hanno R. Ellenbogen Citizenship Award by the Prague Society for International Cooperation.";;;;;;Democratic Party;December 23, 1944;;United States;"Wesley Kanne Clark is an American politician, a retired four-star general of the U.S. army, a former Supreme Allied Commander of NATO,led military negotiations for the Bosnian Peace Accords in Dayton; commanded three companies to combat in Vietnam.";politician,executive,retired military officer,consulting company executive
39940;Annette Schavan;https://prabook.com/web/*/39940;June;10;1955;;J?chen, Neuss Rhein District, Germany;Germany;;;1980 , Catholic Theology and Education , Doctor of Philosophy;1998 federal secretary , of women's union Christian Democratic Party//secretary , division head Cusanuswerk Foundation Episcopalian Study//division head , out-of-school youth//1980 - 1984 assistant , division head Cusanuswerk Foundation Episcopalian Study Germany//1991 - 1995 assistant , division head Cusanuswerk Foundation Episcopalian Study//1975 - 1984 Municipal politician Neuss, Nordrhein-Westfalen, Germany//member , state executive//1987 - 1988 federal secretary , of women's union Christian Democratic Party Germany//2005 federal state minister education and research Government Germany//2001 - 2005 member , State Assembly Baden-Wurttemberg+-ttemberg//1995 - 2005 minister culture Germany;;"Cross of the Order of Merit of the Federal Republic of Germany; Order of Merit of Baden-W?rttembergIn 2006, she received the Else Mayer Award.";;;;;;Christian Democratic Party;June 10, 1955;;Germany;Annette Schavan, German government official. She was the Federal Minister of Education and Research from 2005 to 2013, when she resigned following the revocation of her doctorate due to plagiarism. She currently serves as the German ambassador to the ...;politician,diplomat,educationist,university professor
41137;Angela Merkel;https://prabook.com/web/*/41137;July;17;1954;;Hamburg, Germany;Germany;German;Lutheran;1978 - 1990 Academy of Sciences Berlin, Germany//School in Templin//1973 - 1978 Leipzig University Leipzig, Saxony, Germany;September 22, 2013 - present Member of the Bundestag//September 22, 2002 - November 21, 2005 Leader of the CDU/CSU Group in the Bundestag//April 10, 2000 - present Leader of the Christian Democratic Union//January 18, 1991 - November 17, 1994 Minister for Women and Youth//November 17, 1994 - October 26, 1998 Minister for the Environment, Nature Conservation and Nuclear Safety//November 22, 2005 - present Chancellor of Germany//November 7, 1998 - April 10, 2000 General Secretary of the Christian Democratic Union;Chancellor of Germany;"Gallery Jawaharlal Nehru Award for International Understanding India//Gallery Heinz Galinski Award 2012//""The World's 50 Most Influential Figures"" New Statesman named Angela Merkel in ""The WorldNew Statesman named Angela Merkel in ""The World's 50 Most Influential Figures"" 2010.//Elie Wiesel Award For the Year 2017, she received the Elie WieselFor the Year 2017, she received the Elie Wiesel Award, from the United States Holocaust Memorial Museum//Gallery Jawaharlal Nehru Award 2011//Gallery B'nai B'rith 2008//Gallery ""The World's 100 Most Powerful Women"" Merkel topped Forbes magazine's list of ""The WoMerkel topped Forbes magazine's list of ""The World's 100 Most Powerful Women"" in 2006, 2007, 2008, 2009, 2011, 2012, 2013, 2014, 2015, and 2016.//Indira Gandhi Peace Prize 2013//Gallery Karlspreis (Charlemagne Prize) 2008//Gallery Vision for Europe Award 2006";;;;;;Christian Democratic Party;July 17, 1954;;German;Angela Merkel, n?e Angela Dorothea Kasner, German politician who in 2005 became the first female chancellor of Germany. After the fall of the Berlin Wall in 1989, Merkel joined the newly founded Democratic Awakening and in February 1990 became the ...;politician,chancellor
59809;Ernest Gross;https://prabook.com/web/*/59809;September;23;1906;;New York, United States;American//American;;;1928 Oxford (England) University , Postgraduated//1927 Harvard University , Bachelor of Science//DeWitt Clinton High School//Harvard Law School//1931 Harvard University , Bachelor of Laws;1934 - 1936 general counsel , graphic arts coordinating committee Printing and Public Industries//1947 legal adviser United States Department State Washington, United States//1949 - 1953 deputy representative with rank of ambassador , to United Nations//1946 - 1947 deputy assistant , secretary of state for Occupied Areas//1936 - 1938 associate , general counsel National Association of Manufacturers//1954 - 1975 partner , Curtis//1931 - 1933 Assistant , legal adviser United States Department State//1933 - 1934 division counsel , National Recovery Administration//assistant , secretary of state//1938 - 1943 associate , general counsel for enforcement National Labor Relations Board//1934 - 1936 general counsel , graphic arts coordinating committee Printing and Public Industries;;Gallery Order of British Empire, United Kingdom//Legion of Merit;March;2;1999;;New York, New York, United States;;September 23, 1906;92;American;Ernest Arnold Gross was an American diplomat, lawyer, and author. He was especially interested in issues involving war or peace. In 1931, Gross start his career at the United States Department of State as a legal adviser. Two years later, in 1933, he ...;politician,diplomat,lawyer,author
72935;Betty Ting Yee;https://prabook.com/web/*/72935;October;19;1957;;San Francisco, California, United States;United States of America;;;1979 University California , Sociology , Bachelor of Arts//1981 Golden Gate University , Master of Public Administration;1980 - 1982 Coordinator , program University California San Francisco, California, United States//1980 - 1982 project coordinator , program University California San Francisco, California, United States//1986 - 1988 administrative consultant , Lifespan: Elder Care Management Agency Capitola, California, United States//1989 - 1991 consultant , California Senate Office of Research//1988 - 1989 senate fellow , California Senate Health and Human Services Committee Sacramento, California, United States//1983 - 1985 agency assistance coordinator , Volunteer Bureau of Santa Cruz County California, United States//1983 - 1985 director , Volunteer Bureau of Santa Cruz County California, United States//1991 consultant , California Senate Office of Research Sacramento, California, United States;;;;;;;;Democratic Party;October 19, 1957;;United States;"Betty Ting Yee, American Policy consultant. Public health commissioner County of Santa Cruz, 1984-1988; program chair Asian-Pacific Youth Leadership Project, Sacramento, 1990-1991; board directors Santa Cruz Women's Health Center, 1982-1986, Women's ...";politician,governor,master
